,Date,year,month,monthf,week,weekday,weekdayf,ma_short,ma_medium,ma_long,BT_Close,BT_Open,BT_High,BT_Low,BT_Volume,ETH_Close,ETH_Volume,ADA_Close,ADA_Volume,XRP_Close,XRP_Volume,BNB_Close,BNB_Volume,USDT_Close,USDT_Volume
1415,2018-11-15,2018,11,November,46,15,Thursday,6189.035784040178,6362.0980078125,6515.311622080177,5648.02978515625,5736.14990234375,5774.81982421875,5358.3798828125,7032140000,180.80599975585938,2638410000.0,0.06354299932718277,60267800.0,0.48170799016952515,965997000,8.184860229492188,19131700.0,0.9820219874382019,4956910000.0
1416,2018-11-16,2018,11,November,46,16,Friday,6073.311453683035,6325.63359375,6505.284549597538,5575.5498046875,5645.31982421875,5657.02001953125,5498.93994140625,5279320000,175.177001953125,2015330000.0,0.06115100160241127,27544700.0,0.4716089963912964,593572000,7.884479999542236,18869500.0,0.9870269894599915,3454560000.0
1419,2018-11-19,2018,11,November,47,19,Monday,5624.397181919643,6189.693203125,6477.468695746527,4871.490234375,5620.77978515625,5620.77978515625,4842.91015625,7039560000,149.1750030517578,2745160000.0,0.05258199945092201,53737000.0,0.47816601395606995,1297340000,6.632090091705322,21567100.0,0.982729971408844,5189080000.0
1420,2018-11-20,2018,11,November,47,20,Tuesday,5351.880022321428,6108.7780078125,6458.825264362374,4451.8701171875,4863.93017578125,4951.60986328125,4272.10986328125,8428290000,130.33900451660156,3134410000.0,0.044776998460292816,65556800.0,0.4347259998321533,1538310000,5.760210037231445,25989200.0,0.9687989950180054,5908970000.0
1421,2018-11-21,2018,11,November,47,21,Wednesday,5189.568568638393,6033.649609375,6442.688496291035,4602.169921875,4465.5400390625,4675.72998046875,4343.97998046875,6120120000,136.7010040283203,2685930000.0,0.04777999967336655,33938000.0,0.4476509988307953,858303000,6.199049949645996,14208800.0,0.9875040054321289,4348950000.0
1426,2018-11-26,2018,11,November,48,26,Monday,4205.278529575893,5575.01880859375,6323.79152856692,3779.1298828125,4015.070068359375,4107.14013671875,3643.919921875,6476900000,108.33499908447266,2139490000.0,0.03580600023269653,31641100.0,0.35545098781585693,1032000000,4.926449775695801,10132300.0,0.9772430062294006,4696030000.0
1427,2018-11-27,2018,11,November,48,27,Tuesday,4115.114222935268,5472.310009765625,6298.662136501736,3820.719970703125,3765.949951171875,3862.9599609375,3661.010009765625,5998720000,110.01000213623047,2320010000.0,0.0364609993994236,17966300.0,0.36016300320625305,600169000,4.913050174713135,9050190.0,0.9842600226402283,4071230000.0
1428,2018-11-28,2018,11,November,48,28,Wednesday,4065.8642229352677,5388.156416015625,6276.123350201231,4257.419921875,3822.469970703125,4385.89990234375,3822.469970703125,7280280000,122.43800354003906,2673470000.0,0.042020998895168304,47624500.0,0.3905569911003113,774818000,5.3369598388671875,15392800.0,0.9986220002174377,4765620000.0
1429,2018-11-29,2018,11,November,48,29,Thursday,4053.4223284040177,5304.265087890625,6254.932812006787,4278.8466796875,4269.00439453125,4413.0205078125,4145.76513671875,6503347767,117.54264831542969,2196099151.0,0.0418660007417202,39544072.0,0.37956199049949646,629900577,5.346632957458496,13027940.0,0.9973769783973694,4348557871.0
1430,2018-11-30,2018,11,November,48,30,Friday,4006.3021414620534,5208.169423828125,6229.502394550978,4017.2685546875,4289.0888671875,4322.9765625,3942.822021484375,6048016717,113.17141723632812,2020748396.0,0.03891599923372269,28861639.0,0.36245501041412354,512041152,5.078571796417236,10699024.0,0.9918230175971985,4065662222.0
1433,2018-12-03,2018,12,December,49,3,Monday,4088.9908272879466,4920.321845703125,6149.282909663037,3894.130859375,4147.32373046875,4155.9794921875,3840.4462890625,5089570994,108.92501831054688,1772756193.0,0.03867100179195404,21282053.0,0.34875398874282837,392651603,5.109251022338867,12193045.0,0.9965940117835999,3069963646.0
1434,2018-12-04,2018,12,December,49,4,Tuesday,4108.444231305803,4823.17279296875,6119.709714330808,3956.893798828125,3886.294921875,4075.627685546875,3832.75,5028069239,110.21418762207031,1748116495.0,0.03769899904727936,23563420.0,0.3522309958934784,445334425,5.880791187286377,39059359.0,1.0000309944152832,3048831081.0
1436,2018-12-06,2018,12,December,49,6,Thursday,3928.277099609375,4601.35705078125,6050.332509666982,3521.101806640625,3754.074462890625,3874.966064453125,3521.101806640625,5878333109,91.76105499267578,2310716932.0,0.03079799935221672,27195357.0,0.31093600392341614,517551018,4.951686859130859,38404207.0,0.9982960224151611,3702066873.0
1437,2018-12-07,2018,12,December,49,7,Friday,3842.9440569196427,4483.303740234375,6014.390158913352,3419.937255859375,3512.59033203125,3512.59033203125,3280.228759765625,6835615448,93.29456329345703,2554304530.0,0.029864000156521797,31750703.0,0.30199700593948364,667331347,4.528649806976318,24895395.0,1.0014309883117676,4636871756.0
1440,2018-12-10,2018,12,December,50,10,Monday,3606.4189801897323,4197.189140625,5904.182631983902,3502.656005859375,3612.04638671875,3647.33251953125,3470.14453125,5020968740,91.68565368652344,1756437577.0,0.030202999711036682,12553718.0,0.30376601219177246,386627711,4.712263107299805,13851408.0,1.016603946685791,3208473004.0
1441,2018-12-11,2018,12,December,50,11,Tuesday,3530.375313895089,4111.150673828125,5865.440491339173,3424.588134765625,3497.5546875,3513.18505859375,3392.25,4696765188,88.94530487060547,1707497898.0,0.029550999402999878,10444631.0,0.30134499073028564,394872461,4.940698146820068,19625570.0,1.009793996810913,3002221768.0
1442,2018-12-12,2018,12,December,50,12,Wednesday,3492.22607421875,4028.455478515625,5826.302006885259,3486.9501953125,3421.458251953125,3534.228515625,3413.4814453125,4139364829,90.59329986572266,1533050103.0,0.030609000474214554,11071814.0,0.30732300877571106,370325300,5.023137092590332,17783397.0,1.0097559690475464,2623601152.0
1443,2018-12-13,2018,12,December,50,13,Thursday,3462.593994140625,3936.060966796875,5791.159048985954,3313.67724609375,3487.87939453125,3489.739501953125,3298.132080078125,4343372456,86.53931427001953,1754475622.0,0.029190000146627426,11234575.0,0.300025999546051,303413883,4.6507039070129395,14503435.0,1.0033780336380005,2657124589.0
1444,2018-12-14,2018,12,December,50,14,Friday,3437.24365234375,3870.900751953125,5757.960210010259,3242.48486328125,3311.751953125,3329.555908203125,3206.542236328125,4372763663,84.30829620361328,1651491877.0,0.02835799939930439,9205271.0,0.2887899875640869,320266797,4.5333571434021,13544913.0,1.002197027206421,2751719689.0
1447,2018-12-17,2018,12,December,51,17,Monday,3357.595145089286,3735.52017578125,5667.470875749685,3545.86474609375,3253.123046875,3597.91796875,3253.123046875,5409247918,95.13382720947266,2101453024.0,0.03282399848103523,37555983.0,0.328453004360199,639336585,5.110016822814941,17799305.0,1.0099409818649292,3775394830.0
1448,2018-12-18,2018,12,December,51,18,Tuesday,3396.376708984375,3709.47814453125,5640.868440261995,3696.05908203125,3544.761474609375,3701.349365234375,3487.169189453125,5911325473,101.11245727539062,2277514076.0,0.034735001623630524,78783798.0,0.35016199946403503,753758217,5.600269794464111,26195539.0,1.012868046760559,4567397832.0
1449,2018-12-19,2018,12,December,51,19,Wednesday,3433.376778738839,3704.085771484375,5614.855818931503,3745.95068359375,3706.824951171875,3949.322998046875,3687.22998046875,6810689119,101.2685775756836,2456482115.0,0.03454500064253807,43168563.0,0.35195600986480713,1041279272,5.49190092086792,25173916.0,1.0223619937896729,5315586579.0
1450,2018-12-20,2018,12,December,51,20,Thursday,3550.6288016183034,3709.06462890625,5592.458259351326,4134.44140625,3742.195068359375,4191.228515625,3728.974609375,8927129279,116.21687316894531,3063842618.0,0.03940099850296974,43040801.0,0.3781990110874176,1006287680,5.792256832122803,27976597.0,1.0194170475006104,6967777735.0
1451,2018-12-21,2018,12,December,51,21,Friday,3644.0657784598216,3713.761181640625,5565.98587190262,3896.543701171875,4133.70361328125,4198.4296875,3850.9462890625,7206015706,109.49623107910156,2632539990.0,0.04079600051045418,93581789.0,0.35857000946998596,724747471,5.56714391708374,24440098.0,1.0155060291290283,5957952408.0
1456,2018-12-26,2018,12,December,52,26,Wednesday,3970.790771484375,3680.78611328125,5440.116780598958,3857.297607421875,3819.666748046875,3893.359619140625,3769.86376953125,5326547918,131.86563110351562,2720469126.0,0.0411980003118515,27218409.0,0.37869301438331604,690588635,5.713105201721191,19526927.0,1.0195499658584595,4461185016.0
1457,2018-12-27,2018,12,December,52,27,Thursday,3902.2753557477677,3661.3843359375,5412.402573094223,3654.83349609375,3854.6884765625,3874.4169921875,3645.448486328125,5130222366,116.57591247558594,2612804378.0,0.03694399818778038,22969395.0,0.3411619961261749,575821047,5.275450229644775,16073455.0,1.0241739749908447,3977540744.0
1458,2018-12-28,2018,12,December,52,28,Friday,3906.1860700334823,3662.575849609375,5386.182863794192,3923.918701171875,3653.1318359375,3956.135986328125,3642.632080078125,5631554348,137.6470184326172,3130201009.0,0.04186199977993965,26948333.0,0.37685200572013855,765420103,6.0118279457092285,23929897.0,1.0231599807739258,4639997631.0
1461,2018-12-31,2018,12,December,1,31,Monday,3811.5146135602677,3670.458701171875,5297.915204288984,3742.700439453125,3866.839111328125,3868.742919921875,3725.867431640625,4661840806,133.36825561523438,2358360234.0,0.04106299951672554,19280457.0,0.3527059853076935,501793515,6.164731979370117,38216014.0,1.0137219429016113,3447513904.0
1463,2019-01-02,2019,1,January,1,2,Wednesday,3827.820486886161,3706.093798828125,5244.834891887626,3943.409423828125,3849.21630859375,3947.981201171875,3817.409423828125,5244856836,155.0476837158203,3328240369.0,0.04525800049304962,24151526.0,0.37524300813674927,543216669,6.188612937927246,30308610.0,1.0240119695663452,4442755398.0
1464,2019-01-03,2019,1,January,1,3,Thursday,3853.807303292411,3714.994072265625,5217.983793008207,3836.7412109375,3931.048583984375,3935.68505859375,3826.222900390625,4530215219,149.135009765625,2676164880.0,0.04268199950456619,21126963.0,0.36022400856018066,438873803,5.903534889221191,22821639.0,1.0194729566574097,3487202823.0
1465,2019-01-04,2019,1,January,1,4,Friday,3844.3499930245534,3729.196533203125,5189.50871754656,3857.717529296875,3832.0400390625,3865.9345703125,3783.853759765625,4847965467,154.58193969726562,3126192535.0,0.04381199926137924,16024029.0,0.35674700140953064,450633876,6.06513786315918,29311136.0,1.017199993133545,3895786727.0
1468,2019-01-07,2019,1,January,2,7,Monday,3918.3519461495534,3798.070927734375,5109.462510850694,4025.248291015625,4078.5849609375,4092.613525390625,4020.89404296875,5228625637,151.69921875,2712108388.0,0.047995999455451965,45688431.0,0.36434701085090637,499028522,6.29141092300415,37914513.0,1.0139869451522827,3761972510.0
1469,2019-01-08,2019,1,January,2,8,Tuesday,3945.1130719866073,3829.60544921875,5083.616326842645,4030.847900390625,4028.47216796875,4109.02099609375,3996.955322265625,5306593305,150.35963439941406,2459808140.0,0.04852500185370445,34626383.0,0.3653149902820587,499493490,6.640054225921631,65660517.0,1.0193500518798828,3843200052.0
1470,2019-01-09,2019,1,January,2,9,Wednesday,3958.2397809709823,3861.5468359375,5058.153663095802,4035.29638671875,4031.552001953125,4068.403564453125,4022.662841796875,5115905225,150.80311584472656,2369241197.0,0.05216899886727333,55364234.0,0.3708899915218353,455908708,6.641550064086914,74676974.0,1.0168299674987793,3694148978.0
1471,2019-01-10,2019,1,January,2,10,Thursday,3935.6945452008927,3878.59025390625,5029.631791548295,3678.924560546875,4034.411376953125,4064.066650390625,3659.174560546875,6874143796,128.62518310546875,3397734456.0,0.04452899843454361,91162431.0,0.3326520025730133,839535352,5.915918827056885,75844882.0,1.023460030555725,5844376311.0
1472,2019-01-11,2019,1,January,2,11,Friday,3911.3585379464284,3884.250283203125,5000.446695963542,3687.365478515625,3674.015380859375,3713.8818359375,3653.06982421875,5538712865,127.54832458496094,2667585234.0,0.04414699971675873,35963011.0,0.33290401101112366,501054509,6.075342178344727,50239804.0,1.0233160257339478,4194066259.0
1475,2019-01-14,2019,1,January,3,14,Monday,3764.67724609375,3858.0044921875,4910.614030934344,3706.05224609375,3557.31103515625,3727.836181640625,3552.28515625,5651384490,129.0687255859375,2798085735.0,0.04405900090932846,30269131.0,0.33376601338386536,545540174,6.159282207489014,43109288.0,1.0208560228347778,4072427029.0
1476,2019-01-15,2019,1,January,3,15,Tuesday,3707.5097307477677,3847.369755859375,4880.093276515152,3630.67529296875,3704.21630859375,3720.1533203125,3619.94921875,5537192302,122.03271484375,2735449164.0,0.042810000479221344,24504027.0,0.3271790146827698,429283720,5.919047832489014,25427436.0,1.0205579996109009,3956962447.0
1477,2019-01-16,2019,1,January,3,16,Wednesday,3653.1826520647323,3833.002724609375,4849.915162365846,3655.0068359375,3631.509765625,3685.777099609375,3624.67333984375,5394457145,123.54706573486328,2746469340.0,0.044776998460292816,35481507.0,0.3297010064125061,438731638,6.186014175415039,35059223.0,1.018522024154663,3933540777.0
1478,2019-01-17,2019,1,January,3,17,Thursday,3653.1311383928573,3820.18607421875,4820.551871251579,3678.56396484375,3651.87109375,3680.135986328125,3621.9609375,5464420383,123.7419204711914,2594091285.0,0.04531800001859665,38222964.0,0.329353004693985,433446502,6.417831897735596,36306127.0,1.017495036125183,4146824182.0
